,index,variant_id,product_type,order_id,user_id,created_at,order_date,user_order_seq,outcome,ordered_before,abandoned_before,active_snoozed,set_as_regular,normalised_price,discount_pct,vendor,global_popularity,count_adults,count_children,count_babies,count_pets,people_ex_baby,days_since_purchase_variant_id,avg_days_to_buy_variant_id,std_days_to_buy_variant_id,days_since_purchase_product_type,avg_days_to_buy_product_type,std_days_to_buy_product_type
2914,2914,33826472919172,ricepastapulses,2925476282500,3914253959300,2021-02-19 11:23:34,2021-02-19 00:00:00,2,0.0,0.0,0.0,0.0,0.0,0.0810517755489292,0.0535117056856186,clearspring,0.0137987012987012,2.0,0.0,0.0,0.0,2.0,33.0,42.0,31.134053301261627,30.0,30.0,24.276180060339996
3445,3445,33826472919172,ricepastapulses,3643301986436,3914253959300,2021-03-03 14:42:05,2021-03-03 00:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0810517755489292,0.0535117056856186,clearspring,0.0171428571428571,2.0,0.0,0.0,0.0,2.0,33.0,42.0,31.134053301261627,30.0,30.0,24.276180060339996
4907,4907,34465294221444,snacksconfectionery,2925476282500,3914253959300,2021-02-19 11:23:34,2021-02-19 00:00:00,2,0.0,0.0,0.0,0.0,0.0,0.0864732989970181,0.0971786833855799,sparesnacks,0.0073051948051948,2.0,0.0,0.0,0.0,2.0,33.0,23.0,13.286966480761125,30.0,27.0,23.634873000807428
5438,5438,34465294221444,snacksconfectionery,3643301986436,3914253959300,2021-03-03 14:42:05,2021-03-03 00:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0864732989970181,0.0971786833855799,sparesnacks,0.0057142857142857,2.0,0.0,0.0,0.0,2.0,33.0,23.0,13.286966480761125,30.0,27.0,23.634873000807428
8347,8347,34284951273604,dishwasherdetergent,2925476282500,3914253959300,2021-02-19 11:23:34,2021-02-19 00:00:00,2,0.0,0.0,0.0,0.0,0.0,0.2843589048522635,0.9065776930409912,finish,0.0267857142857142,2.0,0.0,0.0,0.0,2.0,33.0,38.0,31.091048406878443,30.0,32.0,25.84194749370094
8878,8878,34284951273604,dishwasherdetergent,3643301986436,3914253959300,2021-03-03 14:42:05,2021-03-03 00:00:00,3,0.0,0.0,0.0,0.0,0.0,0.2843589048522635,0.9065776930409912,finish,0.0278571428571428,2.0,0.0,0.0,0.0,2.0,33.0,38.0,31.091048406878443,30.0,32.0,25.84194749370094
10106,10106,34465293860996,snacksconfectionery,2925476282500,3914253959300,2021-02-19 11:23:34,2021-02-19 00:00:00,2,0.0,0.0,0.0,0.0,0.0,0.3250203307129303,0.1009174311926604,propercorn,0.0064935064935064,2.0,0.0,0.0,0.0,2.0,33.0,27.0,9.444575162494075,30.0,27.0,23.634873000807428
10637,10637,34465293860996,snacksconfectionery,3643301986436,3914253959300,2021-03-03 14:42:05,2021-03-03 00:00:00,3,0.0,0.0,0.0,0.0,0.0,0.3250203307129303,0.1009174311926604,propercorn,0.0064285714285714,2.0,0.0,0.0,0.0,2.0,33.0,27.0,9.444575162494075,30.0,27.0,23.634873000807428
13552,13552,33667302359172,cleaningaccessories,2925476282500,3914253959300,2021-02-19 11:23:34,2021-02-19 00:00:00,2,0.0,0.0,0.0,0.0,0.0,0.0349688262401734,0.1550387596899224,ecoforce,0.0503246753246753,2.0,0.0,0.0,0.0,2.0,33.0,36.0,27.98667435712918,30.0,35.0,29.001400124251248
14083,14083,33667302359172,cleaningaccessories,3643301986436,3914253959300,2021-03-03 14:42:05,2021-03-03 00:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0349688262401734,0.1550387596899224,ecoforce,0.0657142857142857,2.0,0.0,0.0,0.0,2.0,33.0,36.0,27.98667435712918,30.0,35.0,29.001400124251248
