product_type,category,category_enhanced
tinspackagedfoods,food,food_essential
condimentsdressings,food,food_accesory
ricepastapulses,food,food_essential
haircare,care,care_essential
longlifemilksubstitutes,food,food_essential_baby
cookingingredientsoils,food,food_essential
dishwasherdetergent,clothes_cleaning,clothes_cleaning_essential
cereal,food,food_essential
bathroomlimescalecleaner,house_cleaning,house_cleaning_essential
kidssnacks,food,food_accesory_baby
snacksconfectionery,food,food_accesory
jamhoneyspreads,food,food_accesory
dental,toilet,toilet_essential
bathshowergel,toilet,toilet_essential
coffee,food,food_essential
handsoapsanitisers,toilet,toilet_accesory
pickledfoodolives,food,food_accesory
babytoiletries,toilet,toilet_essential_baby
homebaking,food,food_accesory
nappies,toilet,toilet_essential_baby
femininecare,toilet,toilet_essential_female
tea,food,food_accesory
allpurposecleaner,house_cleaning,house_cleaning_essential
washingliquidgel,clothes_cleaning,clothes_cleaning_essential
cleaningaccessories,house_cleaning,house_cleaning_accesory
catfood,food,food_essential_pet
facialskincare,care,care_accesory
softdrinksmixers,drink,drink_accesory
dogfood,food,food_essential_pet
driedfruitsnutsseeds,food,food_accesory
shavinggrooming,toilet,toilet_essential_men
babyfood6months,food,food_essential_baby
nappypants,toilet,toilet_essential_baby
fabricconditionerfreshener,clothes_cleaning,clothes_cleaning_essential
kitchenovencleaner,house_cleaning,house_cleaning_accesory
juicesquash,drink,drink_accesory
kitchenrolltissues,house_cleaning,house_cleaning_accesory
bodyskincare,care,care_accesory
wipescottonwool,toilet,toilet_accesory
cookingsaucesmarinades,food,food_accesory
superfoodssupplements,health,health_accesory
foodstorage,food,food_accesory
deodorant,toilet,toilet_accesory
healthcarevitamins,food,food_accesory
floorcleanerpolish,house_cleaning,house_cleaning_accesory
delicatesstainremover,clothes_cleaning,clothes_cleaning_accesory
washingpowder,clothes_cleaning,clothes_cleaning_essential
binbags,house_cleaning,house_cleaning_essential
kidsdental,toilet,toilet_essential_baby
windowglasscleaner,house_cleaning,house_cleaning_accesory
dryingironing,clothes_cleaning,clothes_cleaning_accesory
airfreshener,house_cleaning,house_cleaning_accesory
toiletroll,toilet,toilet_essential
beer,drink,drink_accesory
maternity,care,care_essential_baby
washingcapsules,clothes_cleaning,clothes_cleaning_essential
babymilkformula,food,food_essential_baby
householdsundries,house_cleaning,house_cleaning_essential
babyfood12months,food,food_essential_baby
petcare,care,care_accesory_pet
feedingweaning,food,food_essential_baby
premixedcocktails,drink,drink_accesory
